key,n,pf,net,wr,pos_years,years,worst_year
mom_lb5_rb1_nosl,1281,0.862,-6323.7,42.7,1,7,-1729.0
mom_lb5_rb1_sl3.0,1699,0.887,-5471.61,35.3,2,7,-1720.72
rev_lb5_rb1_nosl,1281,1.027,1138.1,55.0,5,7,-1469.2
rev_lb5_rb1_sl3.0,2079,0.971,-1676.21,39.7,3,7,-1428.05
mom_lb5_rb5_nosl,779,0.833,-6031.9,44.0,2,7,-2106.1
mom_lb5_rb5_sl3.0,1023,0.837,-5607.63,29.4,1,7,-1651.84
rev_lb5_rb5_nosl,779,1.091,2873.5,53.7,5,7,-714.7
rev_lb5_rb5_sl3.0,1179,0.972,-1040.99,32.5,3,7,-1177.13
mom_lb5_rb20_nosl,542,0.896,-3024.1,49.3,2,7,-1290.8
mom_lb5_rb20_sl3.0,629,0.824,-4117.53,25.8,1,7,-1227.08
rev_lb5_rb20_nosl,542,1.03,824.9,49.3,4,7,-827.9
rev_lb5_rb20_sl3.0,692,0.875,-3217.97,26.6,2,7,-1239.94
mom_lb10_rb1_nosl,933,0.899,-3497.3,45.1,2,7,-1277.2
mom_lb10_rb1_sl3.0,1346,0.905,-3769.24,34.4,2,7,-1286.26
rev_lb10_rb1_nosl,933,0.992,-271.7,52.2,3,7,-914.6
rev_lb10_rb1_sl3.0,1716,0.921,-4104.48,36.1,0,7,-1330.54
mom_lb10_rb5_nosl,568,0.903,-2675.5,45.8,2,7,-1042.5
mom_lb10_rb5_sl3.0,853,0.896,-3069.43,27.4,1,7,-982.52
rev_lb10_rb5_nosl,568,1.015,386.9,53.0,5,7,-659.7
rev_lb10_rb5_sl3.0,1029,0.91,-3154.43,30.4,1,7,-946.08
mom_lb10_rb20_nosl,399,0.917,-2017.9,45.6,2,7,-1552.6
mom_lb10_rb20_sl3.0,559,0.854,-3133.75,22.5,1,7,-1441.47
rev_lb10_rb20_nosl,399,1.017,401.5,53.6,4,7,-1266.9
rev_lb10_rb20_sl3.0,633,0.932,-1613.26,27.0,4,7,-1248.19
mom_lb20_rb1_nosl,620,1.053,1381.1,45.0,4,7,-573.7
mom_lb20_rb1_sl3.0,1012,0.964,-1196.43,32.0,2,7,-1351.4
rev_lb20_rb1_nosl,620,0.863,-3888.5,51.9,3,7,-1877.9
rev_lb20_rb1_sl3.0,1336,0.875,-5583.35,31.5,0,7,-1912.36
mom_lb20_rb5_nosl,383,1.035,773.3,46.0,4,7,-581.2
mom_lb20_rb5_sl3.0,667,0.944,-1372.38,26.1,3,7,-1144.61
rev_lb20_rb5_nosl,383,0.901,-2316.3,52.5,3,7,-1327.0
rev_lb20_rb5_sl3.0,866,0.925,-2398.68,26.4,3,7,-1905.29
mom_lb20_rb20_nosl,272,1.088,1507.4,50.4,5,7,-660.9
mom_lb20_rb20_sl3.0,462,0.936,-1145.41,24.5,2,7,-1004.82
rev_lb20_rb20_nosl,272,0.864,-2605.6,49.3,2,7,-1388.1
rev_lb20_rb20_sl3.0,568,0.96,-881.74,24.3,3,7,-1361.7
mom_lb60_rb1_nosl,398,0.767,-4949.9,40.7,0,7,-1535.5
mom_lb60_rb1_sl3.0,787,0.739,-7383.95,23.5,0,7,-2117.9
rev_lb60_rb1_nosl,398,1.196,3334.9,55.8,6,7,-102.3
rev_lb60_rb1_sl3.0,923,1.056,1784.3,30.3,4,7,-228.02
mom_lb60_rb5_nosl,243,0.844,-2553.3,45.7,3,7,-1415.7
mom_lb60_rb5_sl3.0,526,0.757,-5014.16,20.3,0,7,-1724.06
rev_lb60_rb5_nosl,243,1.109,1565.9,52.7,4,7,-386.7
rev_lb60_rb5_sl3.0,623,1.099,2297.49,24.9,5,7,-202.88
mom_lb60_rb20_nosl,174,0.786,-3469.3,42.5,3,7,-1636.5
mom_lb60_rb20_sl3.0,377,0.78,-3498.99,16.2,1,7,-872.44
rev_lb60_rb20_nosl,174,1.213,2767.5,57.5,4,7,-548.6
rev_lb60_rb20_sl3.0,442,1.132,2210.95,24.7,4,7,-576.82
